"","area_fips","year","qtr","size_code","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","avg_annual_pay","annual_avg_wkly_wage","area_title","state"
"1","C1018",2000,"A",0,"All establishment sizes",3984,60646,1471166653,24258,467,"Abilene, TX","TX"
"2","C1042",2000,"A",0,"All establishment sizes",17255,319487,10313452729,32281,621,"Akron, OH","OH"
"3","C1050",2000,"A",0,"All establishment sizes",3549,64912,1746001086,26898,517,"Albany, GA","GA"
"4","C1058",2000,"A",0,"All establishment sizes",20448,416410,14256529322,34237,658,"Albany-Schenectady-Troy, NY","NY"
"5","C1074",2000,"A",0,"All establishment sizes",18880,346758,10529426840,30365,584,"Albuquerque, NM","NM"
"6","C1078",2000,"A",0,"All establishment sizes",3638,59353,1467336460,24722,475,"Alexandria, LA","LA"
"7","C1090",2000,"A",0,"All establishment sizes",17326,309303,10280966038,33239,639,"Allentown-Bethlehem-Easton, PA-NJ","NJ"
"8","C1102",2000,"A",0,"All establishment sizes",3215,57786,1519225497,26291,506,"Altoona, PA","PA"
"9","C1110",2000,"A",0,"All establishment sizes",5765,100417,2741327510,27300,525,"Amarillo, TX","TX"
"10","C1118",2000,"A",0,"All establishment sizes",2265,40766,1161968853,28503,548,"Ames, IA","IA"
"11","C1126",2000,"A",0,"All establishment sizes",8416,142007,5090293998,35845,689,"Anchorage, AK","AK"
"12","C1130",2000,"A",0,"All establishment sizes",2586,45928,1412149313,30747,591,"Anderson, IN","IN"
"13","C1134",2000,"A",0,"All establishment sizes",3576,64026,1681000933,26255,505,"Anderson, SC","SC"
"14","C1146",2000,"A",0,"All establishment sizes",8367,195688,7866867812,40201,773,"Ann Arbor, MI","MI"
"15","C1150",2000,"A",0,"All establishment sizes",2599,47515,1202077451,25299,487,"Anniston-Oxford-Jacksonville, AL","AL"
"16","C1150",2000,"A",0,"All establishment sizes",2599,47515,1202077451,25299,487,"Anniston-Oxford, AL","AL"
"17","C1154",2000,"A",0,"All establishment sizes",5139,107041,3244354256,30309,583,"Appleton, WI","WI"
"18","C1170",2000,"A",0,"All establishment sizes",10670,162303,4428939864,27288,525,"Asheville, NC","NC"
"19","C1202",2000,"A",0,"All establishment sizes",4067,73225,2013900731,27503,529,"Athens-Clarke County, GA","GA"
"20","C1206",2000,"A",0,"All establishment sizes",117849,2178338,86158430898,39552,761,"Atlanta-Sandy Springs-Roswell, GA","GA"
"21","C1210",2000,"A",0,"All establishment sizes",6123,140098,4355426882,31088,598,"Atlantic City-Hammonton, NJ","NJ"
"22","C1222",2000,"A",0,"All establishment sizes",2174,41612,1033719382,24842,478,"Auburn-Opelika, AL","AL"
"23","C1226",2000,"A",0,"All establishment sizes",10285,205653,6092221146,29624,570,"Augusta-Richmond County, GA-SC","SC"
"24","C1242",2000,"A",0,"All establishment sizes",30321,664911,27294045601,41049,789,"Austin-Round Rock, TX","TX"
"25","C1242",2000,"A",0,"All establishment sizes",30321,664911,27294045601,41049,789,"Austin-Round Rock-San Marcos, TX","TX"
"26","C1254",2000,"A",0,"All establishment sizes",14125,239696,6809661719,28410,546,"Bakersfield, CA","CA"
